,CUID,Species,Year,Spawners,Recruits,KF_alpha,lnRS,Ricker_resid,R_S
270,178,Lake Sockeye,2015,9818,NA,NA,NA,NA,0
271,178,Lake Sockeye,2016,NA,NA,NA,NA,NA,0
272,178,Lake Sockeye,2017,NA,NA,NA,NA,NA,0
273,180,Lake Sockeye,1950,NA,NA,NA,NA,NA,0
274,180,Lake Sockeye,1951,NA,NA,NA,NA,NA,0
275,180,Lake Sockeye,1952,NA,NA,NA,NA,NA,0
276,180,Lake Sockeye,1953,NA,NA,NA,NA,NA,0
277,180,Lake Sockeye,1954,NA,NA,NA,NA,NA,0
278,180,Lake Sockeye,1955,NA,NA,NA,NA,NA,0
279,180,Lake Sockeye,1956,NA,NA,NA,NA,NA,0
280,180,Lake Sockeye,1957,NA,NA,NA,NA,NA,0
281,180,Lake Sockeye,1958,NA,NA,NA,NA,NA,0
282,180,Lake Sockeye,1959,NA,NA,NA,NA,NA,0
283,180,Lake Sockeye,1960,42485,NA,NA,NA,NA,0
284,180,Lake Sockeye,1961,133007,NA,NA,NA,NA,0
285,180,Lake Sockeye,1962,21587,NA,NA,NA,NA,0
286,180,Lake Sockeye,1963,77002,NA,NA,NA,NA,0
287,180,Lake Sockeye,1964,68409,NA,NA,NA,NA,0
288,180,Lake Sockeye,1965,29888,NA,NA,NA,NA,0
289,180,Lake Sockeye,1966,31977,NA,NA,NA,NA,0
290,180,Lake Sockeye,1967,95242,NA,NA,NA,NA,0
291,180,Lake Sockeye,1968,62457,NA,NA,NA,NA,0
292,180,Lake Sockeye,1969,89905,NA,NA,NA,NA,0
293,180,Lake Sockeye,1970,82164,NA,NA,NA,NA,0
294,180,Lake Sockeye,1971,34049,NA,NA,NA,NA,0
295,180,Lake Sockeye,1972,52692,NA,NA,NA,NA,0
296,180,Lake Sockeye,1973,140253,NA,NA,NA,NA,0
297,180,Lake Sockeye,1974,109851,NA,NA,NA,NA,0
298,180,Lake Sockeye,1975,60353,NA,NA,NA,NA,0
299,180,Lake Sockeye,1976,13336,NA,NA,NA,NA,0
300,180,Lake Sockeye,1977,54679,NA,NA,NA,NA,0
301,180,Lake Sockeye,1978,32032,NA,NA,NA,NA,0
302,180,Lake Sockeye,1979,42455,NA,NA,NA,NA,0
303,180,Lake Sockeye,1980,31679,NA,NA,NA,NA,0
304,180,Lake Sockeye,1981,46466,NA,NA,NA,NA,0
305,180,Lake Sockeye,1982,93630,NA,NA,NA,NA,0
306,180,Lake Sockeye,1983,26965,NA,NA,NA,NA,0
307,180,Lake Sockeye,1984,26503,NA,NA,NA,NA,0
308,180,Lake Sockeye,1985,75649,NA,NA,NA,NA,0
309,180,Lake Sockeye,1986,26865,NA,NA,NA,NA,0
310,180,Lake Sockeye,1987,38206,NA,NA,NA,NA,0
311,180,Lake Sockeye,1988,42435,NA,NA,NA,NA,0
312,180,Lake Sockeye,1989,18412,NA,NA,NA,NA,0
313,180,Lake Sockeye,1990,21328,NA,NA,NA,NA,0
314,180,Lake Sockeye,1991,58719,NA,NA,NA,NA,0
315,180,Lake Sockeye,1992,52358,NA,NA,NA,NA,0
316,180,Lake Sockeye,1993,16646,NA,NA,NA,NA,0
317,180,Lake Sockeye,1994,25124,NA,NA,NA,NA,0
318,180,Lake Sockeye,1995,79679,NA,NA,NA,NA,0
319,180,Lake Sockeye,1996,60909,NA,NA,NA,NA,0
320,180,Lake Sockeye,1997,92245,NA,NA,NA,NA,0
321,180,Lake Sockeye,1998,43130,NA,NA,NA,NA,0
322,180,Lake Sockeye,1999,63692,NA,NA,NA,NA,0
323,180,Lake Sockeye,2000,84558,NA,NA,NA,NA,0
324,180,Lake Sockeye,2001,232802,NA,NA,NA,NA,0
325,180,Lake Sockeye,2002,29324,NA,NA,NA,NA,0
326,180,Lake Sockeye,2003,55028,NA,NA,NA,NA,0
327,180,Lake Sockeye,2004,39546,NA,NA,NA,NA,0
328,180,Lake Sockeye,2005,25141,NA,NA,NA,NA,0
329,180,Lake Sockeye,2006,40874,NA,NA,NA,NA,0
330,180,Lake Sockeye,2007,52862,NA,NA,NA,NA,0
331,180,Lake Sockeye,2008,28667,NA,NA,NA,NA,0
332,180,Lake Sockeye,2009,20503,NA,NA,NA,NA,0
333,180,Lake Sockeye,2010,20455,NA,NA,NA,NA,0
334,180,Lake Sockeye,2011,64622,NA,NA,NA,NA,0
335,180,Lake Sockeye,2012,60983,NA,NA,NA,NA,0
336,180,Lake Sockeye,2013,8760,NA,NA,NA,NA,0
337,180,Lake Sockeye,2014,20322,NA,NA,NA,NA,0
338,180,Lake Sockeye,2015,52239,NA,NA,NA,NA,0
339,180,Lake Sockeye,2016,NA,NA,NA,NA,NA,0
340,180,Lake Sockeye,2017,NA,NA,NA,NA,NA,0
341,183,Lake Sockeye,1950,NA,NA,NA,NA,NA,0
342,183,Lake Sockeye,1951,NA,NA,NA,NA,NA,0
343,183,Lake Sockeye,1952,NA,NA,NA,NA,NA,0
344,183,Lake Sockeye,1953,NA,NA,NA,NA,NA,0
345,183,Lake Sockeye,1954,NA,NA,NA,NA,NA,0
346,183,Lake Sockeye,1955,NA,NA,NA,NA,NA,0
347,183,Lake Sockeye,1956,NA,1267,NA,NA,NA,0
348,183,Lake Sockeye,1957,NA,NA,NA,NA,NA,0
349,183,Lake Sockeye,1958,NA,NA,NA,NA,NA,0
350,183,Lake Sockeye,1959,NA,NA,NA,NA,NA,0
351,183,Lake Sockeye,1960,800,1089,NA,NA,NA,1.36125
352,183,Lake Sockeye,1961,400,NA,NA,NA,NA,0
353,183,Lake Sockeye,1962,400,NA,NA,NA,NA,0
354,183,Lake Sockeye,1963,NA,NA,NA,NA,NA,0
355,183,Lake Sockeye,1964,400,NA,NA,NA,NA,0
356,183,Lake Sockeye,1965,800,NA,NA,NA,NA,0
357,183,Lake Sockeye,1966,400,NA,NA,NA,NA,0
358,183,Lake Sockeye,1967,NA,NA,NA,NA,NA,0
359,183,Lake Sockeye,1968,400,NA,NA,NA,NA,0
360,183,Lake Sockeye,1969,NA,NA,NA,NA,NA,0
361,183,Lake Sockeye,1970,NA,NA,NA,NA,NA,0
362,183,Lake Sockeye,1971,NA,NA,NA,NA,NA,0
363,183,Lake Sockeye,1972,NA,NA,NA,NA,NA,0
364,183,Lake Sockeye,1973,NA,NA,NA,NA,NA,0
365,183,Lake Sockeye,1974,NA,NA,NA,NA,NA,0
366,183,Lake Sockeye,1975,NA,NA,NA,NA,NA,0
367,183,Lake Sockeye,1976,NA,NA,NA,NA,NA,0
368,183,Lake Sockeye,1977,50,NA,NA,NA,NA,0
369,183,Lake Sockeye,1978,150,NA,NA,NA,NA,0
370,183,Lake Sockeye,1979,NA,NA,NA,NA,NA,0
371,183,Lake Sockeye,1980,200,NA,NA,NA,NA,0
372,183,Lake Sockeye,1981,NA,NA,NA,NA,NA,0
373,183,Lake Sockeye,1982,NA,NA,NA,NA,NA,0
374,183,Lake Sockeye,1983,NA,NA,NA,NA,NA,0
